Name|Location|Transportation|URL
1429 Furniture|14 (Red/Green Line)|T-801 - Suites At Market Square, Top Floor|http://www.1429mfg.com
200North|1 (Transportation Terminal)|D1102 - IHFC, Design Center, Floor 11|http://www.200north.com
7 Seas Unit II|29 (Red Line)|M99 - Market Square, Mezzanine|http://www.homeaccentsgallery.com
A.R.T. Furniture Inc.|3 (Green Line)|200 - Plaza Suites|http://www.arthomefurnishings.com
A-America|1 (Transportation Terminal)|W1047 - IHFC, Wrenn, Floor 10|http://www.a-america.com
Abbyson|1 (Transportation Terminal)|C1156 - IHFC, Commerce, Floor 11|http://www.abbyson.com
Abner Henry Fine Furniture|19 (Red Line)|333 N. Hamilton St.|http://www.abnerhenry.com
AC Pacific|4 (Green Line)|225 S. Elm St.|http://www.acpacific.com
Adams Furniture USA, Inc.|0 (Go Anywhere Shuttle)|117 Washboard Rd, Thomasville|http://www.adamsfurniture.com
Adriana Hoyos|1 (Transportation Terminal)|IH404 - IHFC, Commerce, Floor 1Area: InterHall|http://www.adrianahoyos.com
AERIN Home Furniture|6 (Green Line)|116 S. Lindsay St.|
AFK Furniture|1 (Transportation Terminal)|IH305 - IHFC, Commerce, Floor 1Area: InterHall|http://www.afkfurniture.com
AICO/Amini Innovation Corporation|1 (Transportation Terminal)|C802 - IHFC, Commerce, Floor 8|http://www.amini.com
ALF Uno S.p.A.|1 (Transportation Terminal)|H720 - IHFC, Hamilton, Floor 7|http://www.alfitalia.com
Allison Paladino Collections|6 (Green Line)|116 S. Lindsay St.|http://www.apinteriors.com
Amalfi Home Furnishings|4 (Green Line)|310 S. Main St.|http://www.amalfihome.net
Ambella Home Collection, Inc.|18 (Red Line)|Hamilton Court S-110 - 310 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.ambellahome.com
American Drew, A Division of La-Z-Boy, Inc.|1 (Transportation Terminal)|C926 - IHFC, Commerce, Floor 9|http://www.americandrew.com
American Loft & Lounge/H & H Furn. Mfgs Inc|13 (Green Line)|113 E. Green Dr.|http://www.americanloftandlounge.com
American Woodcrafters|3 (Green Line)|233 S. Main St. - Market On Main, Floor 1|http://www.american-woodcrafters.com
Ameriwood Home/ Dorel Home |14 (Red/Green Line)|9A - Commerce & Design, Floor 9|http://www.ameriwoodhome.com
Amisco Industries Ltd.|1 (Transportation Terminal)|D541 - IHFC, Design Center, Floor 5|http://www.amisco.com
Ann Gish, Inc.|1 (Transportation Terminal)|IH206 - IHFC, Commerce, Floor 1Area: InterHall|http://www.anngish.com, www.theartofhome.com
APlus International/API Furniture|12 (Green Line)|1103C - Center Point on Hamilton, Lower Level|http://www.apifurniture.com
Arason Enterprises, Inc.|14 (Red/Green Line)|M-2041 - Suites At Market Square, Mezzanine|http://www.fu-chest.com
Art and Antique Hunter|29 (Red Line)|M-50, G-36 - Market Square, MezzanineArea: Antique and Design Center|http://www.artandantiquehunter.com
Arthur W. Brown Mfg.|3 (Green Line)|215 S. Main St., 2nd Fl|http://www.arthurwbrown.com
Artistica|18 (Red Line)|N Ct 221 - 200 N. Hamilton St., Floor 2Area: Hamilton/Wrenn District|http://www.artisticahome.com
Artitalia Group LLC|18 (Red Line)|N Ct 103 - 200 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.artitaliagroup.com
Ashley Furniture Industries, Inc.|1 (Transportation Terminal)|H900 - IHFC, Hamilton, Floor 9|http://www.ashleyfurniture.com
aspenhome|1 (Transportation Terminal)|C1158 - IHFC, Commerce, Floor 11|http://www.aspenhome.net
Austin Group Furniture|13 (Green Line)|208 E. Green Dr.|http://www.austingroupfurniture.com
Avalon Furniture|9 (Green Line)|100 - Atrium on Main, Floor 1|http://www.avalonfurniture.com
B K Home Furniture LLC|13 (Green Line)|601 - Market On Green, Floor 6|http://www.bkhomefurniture.com
Badgley Mischka Home|1 (Transportation Terminal)|IH102 - IHFC, Commerce, Floor 1Area: InterHall|http://www.badgleymischkahome.com
Baker Furniture|19 (Red Line)|319 N Hamilton St|http://www.bakerfurniture.com
Bassett Furniture Industries, Inc.|1 (Transportation Terminal)|C1200 - IHFC, Commerce, Floor 12|http://www.bassettfurniture.com
Belle Meade Signature|18 (Red Line)|Hamilton Court, S-312 - 310 N. Hamilton St., Floor 3Area: Hamilton/Wrenn District|http://www.bellemeadesignature.com
Bell'O|13 (Green Line)|304 - Market On Green, Floor 3|http://www.bello.com
Bennett Galleries|7 (Green Line)|315 W. Russell Ave.|http://www.bennettdiscoveries.com
Berber.Kammlah|6 (Green Line)|116 S. Lindsay St.|
Bermex|27 (Red Line)|400 W. English Rd  - The Factory, Floor 2Area: North Elm District (NED)|http://www.bermex.ca
Bernards Furniture Group|9 (Green Line)|220 - Atrium on Main, Floor 2|http://www.bernardsinc.com
Bernhardt Furniture Company|1 (Transportation Terminal)|D601 - IHFC, Design Center, Floor 6|http://www.bernhardt.com
Bethel International|14 (Red/Green Line)|4Q - Commerce & Design, Floor 4|http://www.bethelin.com
Beyond Borders Imports|12 (Green Line)|1103B - Center Point on Hamilton, Lower Level|http://www.beyondbordersimports.com
BFG - Brazil Furniture Group|3 (Green Line)|243 S. Main St. - 2nd Floor|http://www.brazilfurnituregroup.com
BG Industries|14 (Red/Green Line)|G-4035 - Suites At Market Square, Ground|http://www.bgindustries.net
Bienal|14 (Red/Green Line)|G-7054 - Suites At Market Square, GroundArea: Salon|http://www.bienal.us
Black Dog Salvage/Widget Home, LLC|27 (Red Line)|E-201, E-301 - Union Square, Floor 2|http://www.widgethome.net
Boga Furniture|0 (Go Anywhere Shuttle)|. - 812 Millis, Floor 2|http://www.bogafurniture.com
Bolier & Company|19 (Red Line)|311 N. Hamilton St. 3rd Floor|http://www.bolierco.com
Bolton Furniture|12 (Green Line)|210 - Center Point on Hamilton, Level 2|http://www.boltonfurniture.biz
Borkholder Furniture|1 (Transportation Terminal)|H1103 - IHFC, Hamilton, Floor 11|http://www.borkholderfurniture.com
Bramble Co., The|1 (Transportation Terminal)|1650 - Showplace, Floor 1|http://www.brambleco.com
Bramble Co.,The|14 (Red/Green Line)|G-2015 - Suites At Market Square, Ground|http://www.brambleco.com
Brownstone Furniture Inc.|18 (Red Line)|N Ct 101 - 200 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.brownstonefurniture.com
Broyhill Furniture|29 (Red Line)|414 - Market Square, Floor 4|http://www.broyhillfurniture.com
Bunakara|14 (Red/Green Line)|G-6055 - Suites At Market Square, GroundArea: Salon|http://www.bunakara.com
Busbin|29 (Red Line)|141 - Market Square, Floor 1|http://www.busbin.com
California House|18 (Red Line)|N Ct 201 - 200 N. Hamilton St., Floor 2Area: Hamilton/Wrenn District|http://www.californiahouse.com
Calligaris USA, Inc.|1 (Transportation Terminal)|H524 - IHFC, Hamilton, Floor 5|http://www.calligaris.us
Camerich USA|1 (Transportation Terminal)|H612 - IHFC, Hamilton, Floor 6|http://www.camerichusa.com
Camilla House Imports Ltd|14 (Red/Green Line)|G-4000 - Suites At Market Square, GroundArea: Salon|http://www.camillahouse.com
Canal Dover Furniture|14 (Red/Green Line)|M-4060 - Suites At Market Square, Mezzanine|http://www.canaldover.com
Canyon Furniture|13 (Green Line)|201 - Market On Green, Floor 2|http://www.canyon.com.mx
Capris Furniture|3 (Green Line)|243 S. Main St., 3rd Fl|http://www.caprisfurniture.com
Caracole|1 (Transportation Terminal)|C500 - IHFC, Commerce, Floor 5|http://www.caracole.com
Casana Furniture|14 (Red/Green Line)|404 - 220 Elm, Level 4|http://www.casanafurniture.com
Cassady Closeouts|3 (Green Line)|1-517 - Plaza Suites, Floor 1|http://www.cassadycloseouts.com
CDI International Inc.|1 (Transportation Terminal)|2500 - Showplace, Floor 2|http://www.cdifurniture.com
Center Theatre Tower/ Wakefield Group|1 (Transportation Terminal)|150 S. Main St. - Center Theatre Tower|http:// www.largofurniture.com
Centers of High Point - Hamilton|12 (Green Line)|401 S. Hamilton St. - Center Point on Hamilton|http://www.centersofhighpoint.com
Century Furniture|21 (Red Line)|520 N. Hamilton St.|http://www.centuryfurniture.com
Chaddock|13 (Green Line)|300 E. Green Dr.|http://www.chaddockhome.com
Charleston Forge|29 (Red Line)|110A - Market Square, Floor 1|http://www.charlestonforge.com
Chichester and Brown Closet|0 (Go Anywhere Shuttle)|1125 Bedford St.|
Christopher Guy|1 (Transportation Terminal)|129 S. Hamilton St.|http://www.christopherguy.com
Christopher Guy Annex|18 (Red Line)|N Ct 203 - 200 N. Hamilton St., Floor 2Area: Hamilton/Wrenn District|http://www.christopherguy.com
Cilek Kids Room|1 (Transportation Terminal)|M231 - IHFC, Main, Floor 2|http://www.cilekkidsroom.com
Cisco Brothers Corp.|0 (Go Anywhere Shuttle)|1014 Mill Ave. - Mill Village Collective, Floor 1|http://www.ciscobrothers.com
Classic Home|1 (Transportation Terminal)|D443 - IHFC, Design Center, Floor 4|http://www.classichome.com
Coaster Company of America|1 (Transportation Terminal)|111 E. Commerce Ave.|http://www.coastercompany.com
Cochrane|1 (Transportation Terminal)|H1143 - IHFC, Hamilton, Floor 11|http://www.chromcraft-revington.com
Colibri|4 (Green Line)|331 - 220 Elm, Level 3|http://www.colibrilifestyle.com
Collection Tuff Avenue|1 (Transportation Terminal)|D1120 - IHFC, Design Center, Floor 11|http://www.tuffavenue.com
Company C Inc.|1 (Transportation Terminal)|IH306 - IHFC, Commerce, Floor 1Area: InterHall|http://www.companyc.com
CONARTE AMERICA by Minick Wood|6 (Green Line)|827 W. Green Dr.|http://www.conarteamerica.com
Conrad Grebel|14 (Red/Green Line)|5H - Commerce & Design, Floor 5|http://www.conradgrebel.com
Container Marketing, (CMI Dining)|12 (Green Line)|208, 209 - Center Point on Hamilton, Level 2|http://www.iwantcmi.com
Copeland Furniture|1 (Transportation Terminal)|5100 - Showplace, Floor 5|http://www.copelandfurniture.com
Cosmos Furniture|1 (Transportation Terminal)|W800 - IHFC, Wrenn, Floor 8|http://www.cosmosfurniture.com
Cottage Creek Furniture Company|14 (Red/Green Line)|156 S. Main St., 110 W. Commerce Ave. - Profit Center, Lower Level|http://www.cottagecreekfurniture.com
Councill|17 (Red Line)|132 - 200 Steele, Floor 1Area: Hamilton/Wrenn District|http://www.councill.com
Country View Woodworking, Ltd.|1 (Transportation Terminal)|D1101 - IHFC, Design Center, Floor 11|http://www.cvwltd.com
Cozy Earth - Bamboo and Silk Bedding|14 (Red/Green Line)|M-4037 - Suites At Market Square, Mezzanine|http://www.cozyearth.com
CR Laine Furniture Company, Inc.|18 (Red Line)|Hamilton Court S-204 - 310 N. Hamilton St., Floor 2Area: Hamilton/Wrenn District|http://www.crlaine.com
Crate Designs Furniture|1 (Transportation Terminal)|D1111 - IHFC, Design Center, Floor 11|http://www.thebrantcollection.com/
Creative Furniture|1 (Transportation Terminal)|D1019 - IHFC, Design Center, Floor 10|http://www.creativefurniture.us
Creative Metal And Wood Inc|24 (Red Line)|410-412 N. Wrenn St.|http://www.creativemetalwood.com
Cresent Fine Furniture|4 (Green Line)|220 - 220 Elm, Level 3|http://www.cresent.com
Crown Mark Inc|3 (Green Line)|200 E. Green Dr.|http://www.crownmark.com
Crush Youth Furniture|12 (Green Line)|10 - Center Point on Centennial, Floor 1|http://www.hollandhousefurniture.com
Curate Home Collection|18 (Red Line)|242 N. Hamilton St.|
Curations Limited|29 (Red Line)|M90 - Market Square, Mezzanine|http://www.curationslimited.com
Daniel's Amish Collection|12 (Green Line)|216 - Center Point on Hamilton, Level 2|http://www.danielsamish.com
Davis Home|12 (Green Line)|20 - Center Point on Centennial, Floor 1|http://www.davisintlms.com
Decor-Rest Furniture Ltd|5 (Green Line)|208 Jacobs Pl.|http://www.decor-rest.com
Delta Childrens Products|12 (Green Line)|152 - Center Point On Manning, Floor 1|http://www.deltachildren.com
Design Evolution Furniture, Inc.|4 (Green Line)|310 - 220 Elm, Level 3|http://www.DesignEvolutionFurniture.com
Design NS|18 (Red Line)|N Ct 211 - 200 N. Hamilton St., Floor 2Area: Hamilton/Wrenn District|
DesignWorks Furniture|13 (Green Line)|305 - Market On Green, Floor 3|http://www.designworksfurniture.com
Diamond Sofa|10 (Green Line)|209 E. Russell St.|http://www.diamondsofa.com
Dick Idol by Woodbrook Designs|4 (Green Line)|330 - 220 Elm, Level 3|http://www.woodbrook-designs.com/dick-idol-collection
Dinec|27 (Red Line)|400 W. English Rd  - The Factory, Floor 3Area: North Elm District (NED)|http://www.dinec.com
Directional|22 (Red Line)|525 N. Wrenn St.|http://www.TomlinsonCompanies.com
Discovery World Furniture|14 (Red/Green Line)|156 S. Main St. - Profit Center|http://www.discoveryworldfurniture.com
Ditre Italia|1 (Transportation Terminal)|D710 - IHFC, Design Center, Floor 7|http://www.ditreitalia.com/en/
Donco Trading Co|14 (Red/Green Line)|138 S. Main St.|http://www.doncotradingco.com
Dorel Home Products (DHP)/ Dorel Home|14 (Red/Green Line)|9A - Commerce & Design, Floor 9|http://www.dhpfurniture.com/eng/
Dorel Living/Dorel Home|14 (Red/Green Line)|9A - Commerce & Design, Floor 9|http://www.dorelliving.com
Dorya|17 (Red Line)|107 - 330 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.dorya.com
Dovetail Furniture & Designs|14 (Red/Green Line)|G-7031, G-7039  - Suites At Market SquareArea: Salon|http://www.dovetailfurnitureonline.com
Drexel Heritage|29 (Red Line)|510 - Market Square, Floor 5|http://www.drexelheritage.com
Duralee Furniture|1 (Transportation Terminal)|IH106 - IHFC, Commerce, Floor 1Area: InterHall|http://www.duralee.com
Durham Furniture Inc.|1 (Transportation Terminal)|G1082 - IHFC, Green, Floor 10|http://www.durhamfurniture.com
Dynamic Furniture Corp.|1 (Transportation Terminal)|W648 - IHFC, Wrenn, Floor 6|http://www.dynamicfurniture.com
E.J. Victor|6 (Green Line)|116 S. Lindsay St.|http://www.ejvictor.com
E.M. Soberon|1 (Transportation Terminal)|IH108 - IHFC, Commerce, Floor 1Area: InterHall|http://www.emsoberon.com
Eastern Accents|14 (Red/Green Line)|G-1000 - Suites At Market Square, Ground|http://www.easternaccents.com
Ebersol Furniture Company|14 (Red/Green Line)|413 - Radio Building, Floor 4|http://www.ebersolfurniture.com
Eichholtz|1 (Transportation Terminal)|IH302 - IHFC, Commerce, Floor 1Area: InterHall|http://www.eichholtz.com
Elements International|10 (Green Line)|411 S. Main St.|http://www.elementsgrp.com
Elite Living|14 (Red/Green Line)|8M, 8L - Commerce & Design, Floor 8|http://www.eliteliving.ca
Elite Modern|1 (Transportation Terminal)|D520 - IHFC, Design Center, Floor 5|http://www.elitemodern.com
ELOQUENCE|16 (Red Line)|110 N. Wrenn St.|http://www.eloquenceinc.com
Emerald Home Furnishings|12 (Green Line)|201 - Center Point on Hamilton, Level 2|http://www.emeraldhome.com
Emerson Bentley|18 (Red Line)|Hamilton Court S-307 - 310 N. Hamilton St., Floor 3Area: Hamilton/Wrenn District|http://www.emersonbentley.com
EQ3|14 (Red/Green Line)|402 - 220 Elm, Level 4|http://www.eq3.com
Ethnicraft|1 (Transportation Terminal)|IH110 - IHFC, Commerce, Floor 1Area: InterHall|http://www.ethnicraft.com
F.J. Kashanian Rugs|14 (Red/Green Line)|G-2037 - Suites At Market Square, Ground|http://www.fjkashanian.com
Fabelli Group|1 (Transportation Terminal)|D1038 - IHFC, Design Center, Floor 10|http://www.fabelli.com
Factory Direct|12 (Green Line)|160 - Center Point On Manning, Floor 1|http://www.factorydirectfurnituretn.com
Factory, The|27 (Red Line)|400 W. English Rd.  - The FactoryArea: North Elm District (NED)|http://www.factory-building.com
Fairmont Designs|1 (Transportation Terminal)|C867 - IHFC, Commerce, Floor 8|http://www.fairmontdesigns.com
Fashion Bed Group, A Leggett & Platt Co|1 (Transportation Terminal)|H1141 - IHFC, Hamilton, Floor 11|http://www.fashionbedgroup.com
Fine Furniture Design|13 (Green Line)|305 S. Hamilton St.|http://www.ffdm.com
Fireside Lodge Furniture|1 (Transportation Terminal)|H437 - IHFC, Hamilton, Floor 4|http://www.firesidelodgefurniture.com
Flexsteel Industries, Inc.|1 (Transportation Terminal)|C558, C503 - IHFC, Commerce, Floor 5|http://www.flexsteel.com
Flitch Furniture|14 (Red/Green Line)|G-6033 - Suites At Market Square, GroundArea: Salon|http://www.flitchfurniture.com
Four Hands|1 (Transportation Terminal)|4101 - Showplace, Floor 4|http://www.fourhands.com
Francesco Molon|20 (Red Line)|502 N. Hamilton St.|http://www.francescomolon.com
Fremarc Designs|18 (Red Line)|Hamilton Court S-101 - 310 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.fremarc.com
French Heritage, Inc.|0 (Go Anywhere Shuttle)|1638 English Rd. (Main)|http://www.frenchheritage.com
French Market Collection|1 (Transportation Terminal)|IH300 - IHFC, Commerce, Floor 1Area: InterHall|http://www.frenchmarketcollection.com
Furniture of America|3 (Green Line)|247 S. Main St.|http://www.foagroup.com
Furniture Source International|12 (Green Line)|312 S. Hamilton St.,  1st Floor|http://www.furnituresourceint.com
G. Romano Inc.|1 (Transportation Terminal)|D704 - IHFC, Design Center, Floor 7|http://www.gromano.com
Gat Creek|1 (Transportation Terminal)|D1020 - IHFC, Design Center, Floor 10|http://www.gatcreek.com
Genesee River Trading Co.|14 (Red/Green Line)|G-2020 - Suites At Market Square, Ground|http://www.geneseeriver.com
GILANI|21 (Red Line)|525 N. Wrenn St.|http://www.gilanifurniture.com
Global Home Group|3 (Green Line)|410 - Plaza Suites, Floor 4|http://www.globalhomegroup.com
Global Trading Unlimited, Inc.|3 (Green Line)|233 S. Main St.  - Market On Main, Floor 6|http://www.globaltradingunlimited.com
Grain Wood Furniture|3 (Green Line)|243 Main St., 2nd Fl|http://www.grainwoodfurniture.com
GrassRoots|1 (Transportation Terminal)|IH103  - IHFC, Commerce, Floor 1Area: InterHall|http://www.grassrootsimports.com
Green Apple Home Style|14 (Red/Green Line)|M-4000 - Suites At Market Square, Mezzanine|http://www.greenapple.pt
Green Gables|3 (Green Line)|1-517A, 1-611 - Plaza Suites|http://www.GreenGablesFurniture.com
Greenington Fine Bamboo Furniture|1 (Transportation Terminal)|H517 - IHFC, Hamilton, Floor 5|http://www.greenington.com
Gruppo Tomasella|1 (Transportation Terminal)|D739 - IHFC, Design Center, Floor 7|http://www.gruppotomasella.it
GuildMaster|14 (Red/Green Line)|1A - Commerce & Design, Floor 1|http://www.guildmaster.com
Gus* Design Group|1 (Transportation Terminal)|H512 - IHFC, Hamilton, Floor 5|http://www.gusdesigngroup.com
Harden Furniture LLC|17 (Red Line)|133 - 200 Steele, Floor 1Area: Hamilton/Wrenn District|http://www.harden.com
