Name|Location|Transportation|URL
Largo International Inc|3 (Green Line)|200 E. Green Dr., 2nd Fl|http://www.largofurniture.com
La-Z-Boy Casegoods Group|1 (Transportation Terminal)|C926 - IHFC, Commerce, Floor 9|http://www.la-z-boy.com
Legacy Classic Furniture|0 (Go Anywhere Shuttle)|2622 Uwharrie Rd., High Point|http://www.legacyclassic.com
Legacy Classic Kids|0 (Go Anywhere Shuttle)|2622 Uwharrie Rd. High Point|http://www.legacyclassickids.com
Legends Furniture|1 (Transportation Terminal)|C601 - IHFC, Commerce, Floor 6|http://www.legendsfurniture.com
Leif Petersen|4 (Green Line)|328 - 220 Elm, Level 3|http://www.leifpetersenfurniture.com
Lexington Home Brands|0 (Go Anywhere Shuttle)|1300 National Highway, Thomasville, NC 27360|http://www.lexington.com
LF Enterprises|14 (Red/Green Line)|142 and 128 S. Main St.|http://www.lfcompany.com
Libby Langdon Upholstery for Braxton Culler|8 (Green Line)|310 S. Elm St.|http://www.libbylangdon.com
Liberty Furniture Industries Inc.|12 (Green Line)|260 - Center Point On Manning, Floor 2|http://www.mylibertyfurniture.com
Life Line Manufacturing Inc.|14 (Red/Green Line)|- Profit Center, Floor 2|http://www.lifelinemanufacturing.ca
Lifestyle Enterprise, Inc.|1 (Transportation Terminal)|320 E. Commerce Ave.|http://www.lifestyle-us.com
Ligna USA, Inc|1 (Transportation Terminal)|H1144 - IHFC, Hamilton, Floor 11|http://www.lignafurniture.com
Lillian August for Hickory White|18 (Red Line)|309 North Hamilton, 3rd Floor|http://www.lillianaugustfinefurniture.com
MacKenzie-Dow Fine Furniture|18 (Red Line)|N Ct 205 - 200 N. Hamilton St., Floor 2Area: Hamilton/Wrenn District|http://www.mackenziedow.com
Made Goods|1 (Transportation Terminal)|D223 - IHFC, Design Center, Floor 2|http://www.madegoods.com
Magnolia Home|1 (Transportation Terminal)|H744 - IHFC, Hamilton, Floor 7|http://www.MagnoliaHomeFurniture.com
Magnussen Home Furnishings, Inc.|1 (Transportation Terminal)|M810 - IHFC, Main, Floor 8|http://www.magnussen.com
Maison 55|19 (Red Line)|101 - 330 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.resourcedecor.com
Malouf|13 (Green Line)|204 - Market On Green, Floor 2|http://www.MaloufSleep.com
Marge Carson Inc|17 (Red Line)|121 N. Hamilton St|http://www.margecarson.com
Maria Yee, Inc.|25 (Red Line)|119 N. Wrenn St.|http://www.mariayee.com
Martin Svensson Home|1 (Transportation Terminal)|H721 - IHFC, Hamilton, Floor 7|http://www.sandbergfurniture.com
Massoud Furniture Mfg Co Inc|18 (Red Line)|Hamilton Court S-104 - 310 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.massoudfurniture.com
Maxwood Furniture|12 (Green Line)|207B - Center Point on Hamilton, Level 2|http://www.maxwoodfurniture.com
Mazin Furniture Industries - East|5 (Green Line)|212 Jacobs Pl|http://www.mazinfurniture.com
Mazin Furniture Industries - West|5 (Green Line)|212 Jacobs Pl|http://www.mazinfurniture.com
Mega Group USA|1 (Transportation Terminal)|D1117 - IHFC, Design Center, Floor 11|http://www.megagroupusa.com
MERCATUS Rickers & Timmermann GmbH|0 (Go Anywhere Shuttle)|. - 812 Millis, Floor 3|http://www.BBQ-Fireplace.de
Merit Design Studio|12 (Green Line)|1102 - Center Point on Hamilton, Lower Level|
Meva Furniture|1 (Transportation Terminal)|W346 - IHFC, Wrenn, Floor 3|http://www.meva.us
Michel Ferrand|14 (Red/Green Line)|G-7045 - Suites At Market Square, GroundArea: Salon|http://www.michel-ferrand.com
MIDI|27 (Red Line)|400 W. English Rd  - The Factory, Floor 1Area: North Elm District (NED)|http://www.mi-di.ca
Miles Talbott Furniture|18 (Red Line)|311 N. Hamilton St.|http://www.themtcompany.com
Millcraft Furniture Ltd|14 (Red/Green Line)|. - Radio Building, Floor 4|http://www.millcraftusa.com
Minick Wood Products/BFG Distributor|6 (Green Line)|827 W Green Dr.|http://www.minickfurniture.com
Mitchell Gold + Bob Williams|11 (Green Line)|319 E. Grimes Ave.|http://www.mgbwhome.com
Mobican Furniture|1 (Transportation Terminal)|D523 - IHFC, Design Center, Floor 5|http://www.mobican.com
Mobital USA|1 (Transportation Terminal)|D740 - IHFC, Design Center, Floor 7|http://www.mobital.ca
Modern Farmhouse Collections|1 (Transportation Terminal)|D1102 - IHFC, Design Center, Floor 11|http://www.modernfarmhousecollections.com
Modern History Inc.|23 (Red Line)|430 N. Wrenn St.|http://www.modernhistoryhome.com
modshop|14 (Red/Green Line)|G-7014 - Suites At Market Square, GroundArea: Salon|http://www.modshop1.com
Modus Furniture International|1 (Transportation Terminal)|C806 - IHFC, Commerce, Floor 8|http://www.modusfurniture.com
Modway|1 (Transportation Terminal)|H704 - IHFC, Hamilton, Floor 7|http://www.modwayfurniture.com
Moe's Home Collection|1 (Transportation Terminal)|D430 - IHFC, Design Center, Floor 4|http://www.moeshomecollection.com
Monarch Specialties Inc.|14 (Red/Green Line)|134 N. Main St.|http://www.monarchspec.com
Mossy Oak Nativ Living|14 (Red/Green Line)|156 S. Main St. - Profit Center|http://www.mossyoak.com
Mr. & Mrs. Howard|18 (Red Line)|Sheraton Place, Suite 200 ,315 Fred Alexander Pl|http://www.sherrill-mrandmrshoward.com
Mr. Brown|25 (Red Line)|114-116 Martin Luther King Jr. Dr.|http://www.mrbrownlondon.com
My Home Furnishings|14 (Red/Green Line)|5J, 5K - Commerce & Design, Floor 5|http://www.myhomefurnishings.net
Nathan Anthony Furniture Mfg|1 (Transportation Terminal)|IH411 - IHFC, Commerce, Floor 1Area: InterHall|http://www.nafurniture.com
Natuzzi Americas Inc.|14 (Red/Green Line)|130 W. Commerce Ave.|http://www.natuzzi.us
NCA Design Inc|14 (Red/Green Line)|6A, 6B, 6C - Commerce & Design, Floor 6|http://www.ncadesign.com
New Classic Home Furnishings Inc|1 (Transportation Terminal)|135 S. Hamilton, High Point, NC 27260|http://www.newclassicfurniture.com
Night and Day Furniture|1 (Transportation Terminal)|H724 - IHFC, Hamilton, Floor 7|http://www.nightanddayfurniture.com
